Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
mouseOver,Firefox 53.0,,2017-05-28 09:08:03,2017-05-28 09:08:03,0.131s,PASSED
click,Firefox 53.0,,2017-05-28 09:08:03,2017-05-28 09:08:04,0.354s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:08:04,2017-05-28 09:08:12,8.261s,PASSED
,,,,,,
Test Cases/parts menu/LifeCycle,Firefox 53.0,,2017-05-28 09:08:12,2017-05-28 09:08:36,24.050s,FAILED
openBrowser,Firefox 53.0,,2017-05-28 09:08:12,2017-05-28 09:08:18,5.520s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:08:18,2017-05-28 09:08:19,1.225s,PASSED
setText,Firefox 53.0,,2017-05-28 09:08:19,2017-05-28 09:08:19,0.301s,PASSED
setText,Firefox 53.0,,2017-05-28 09:08:19,2017-05-28 09:08:19,0.242s,PASSED
click,Firefox 53.0,,2017-05-28 09:08:19,2017-05-28 09:08:30,10.947s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:08:30,2017-05-28 09:08:30,0.145s,PASSED
click,Firefox 53.0,,2017-05-28 09:08:30,2017-05-28 09:08:31,0.394s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:08:31,2017-05-28 09:08:36,5.123s,FAILED
,,,,,,
Test Cases/parts menu/NormalizationFamilyParametric,Firefox 53.0,,2017-05-28 09:08:36,2017-05-28 09:09:22,45.979s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:08:36,2017-05-28 09:08:43,6.386s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:08:43,2017-05-28 09:08:44,0.992s,PASSED
setText,Firefox 53.0,,2017-05-28 09:08:44,2017-05-28 09:08:44,0.347s,PASSED
setText,Firefox 53.0,,2017-05-28 09:08:44,2017-05-28 09:08:45,1.164s,PASSED
click,Firefox 53.0,,2017-05-28 09:08:45,2017-05-28 09:08:50,4.809s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:08:50,2017-05-28 09:08:50,0.166s,PASSED
click,Firefox 53.0,,2017-05-28 09:08:50,2017-05-28 09:08:51,0.398s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:08:51,2017-05-28 09:09:22,31.488s,PASSED
,,,,,,
Test Cases/parts menu/PartConfigurationUpload,Firefox 53.0,,2017-05-28 09:09:22,2017-05-28 09:09:42,19.746s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:09:22,2017-05-28 09:09:29,7.010s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:09:29,2017-05-28 09:09:30,1.107s,PASSED
setText,Firefox 53.0,,2017-05-28 09:09:30,2017-05-28 09:09:31,0.323s,PASSED
setText,Firefox 53.0,,2017-05-28 09:09:31,2017-05-28 09:09:31,0.244s,PASSED
click,Firefox 53.0,,2017-05-28 09:09:31,2017-05-28 09:09:38,6.734s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:09:38,2017-05-28 09:09:38,0.121s,PASSED
click,Firefox 53.0,,2017-05-28 09:09:38,2017-05-28 09:09:38,0.394s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:09:38,2017-05-28 09:09:42,3.653s,PASSED
,,,,,,
Test Cases/parts menu/PartLifeCycleMapping,Firefox 53.0,,2017-05-28 09:09:42,2017-05-28 09:10:17,35.578s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:09:42,2017-05-28 09:09:52,9.786s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:09:52,2017-05-28 09:09:54,2.592s,PASSED
setText,Firefox 53.0,,2017-05-28 09:09:54,2017-05-28 09:09:55,0.303s,PASSED
setText,Firefox 53.0,,2017-05-28 09:09:55,2017-05-28 09:09:55,0.674s,PASSED
click,Firefox 53.0,,2017-05-28 09:09:55,2017-05-28 09:10:03,7.855s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:10:03,2017-05-28 09:10:03,0.141s,PASSED
click,Firefox 53.0,,2017-05-28 09:10:03,2017-05-28 09:10:04,0.434s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:10:04,2017-05-28 09:10:17,13.678s,PASSED
,,,,,,
Test Cases/parts menu/PartMappingSummary,Firefox 53.0,,2017-05-28 09:10:18,2017-05-28 09:10:38,20.295s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:10:18,2017-05-28 09:10:26,8.073s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:10:26,2017-05-28 09:10:27,1.024s,PASSED
setText,Firefox 53.0,,2017-05-28 09:10:27,2017-05-28 09:10:27,0.337s,PASSED
setText,Firefox 53.0,,2017-05-28 09:10:27,2017-05-28 09:10:28,0.769s,PASSED
click,Firefox 53.0,,2017-05-28 09:10:28,2017-05-28 09:10:33,4.886s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:10:33,2017-05-28 09:10:33,0.115s,PASSED
click,Firefox 53.0,,2017-05-28 09:10:33,2017-05-28 09:10:33,0.301s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:10:33,2017-05-28 09:10:38,4.627s,PASSED
,,,,,,
Test Cases/parts menu/Parts Family Mapping,Firefox 53.0,,2017-05-28 09:10:38,2017-05-28 09:11:11,32.995s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:10:38,2017-05-28 09:10:43,4.695s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:10:43,2017-05-28 09:10:44,1.467s,PASSED
setText,Firefox 53.0,,2017-05-28 09:10:44,2017-05-28 09:10:44,0.318s,PASSED
setText,Firefox 53.0,,2017-05-28 09:10:44,2017-05-28 09:10:45,0.288s,PASSED
click,Firefox 53.0,,2017-05-28 09:10:45,2017-05-28 09:11:00,15.609s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:11:00,2017-05-28 09:11:00,0.142s,PASSED
click,Firefox 53.0,,2017-05-28 09:11:00,2017-05-28 09:11:01,0.235s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:11:01,2017-05-28 09:11:11,10.164s,PASSED
,,,,,,
Test Cases/parts menu/Parts Packaging,Firefox 53.0,,2017-05-28 09:11:11,2017-05-28 09:11:28,17.557s,FAILED
openBrowser,Firefox 53.0,,2017-05-28 09:11:11,2017-05-28 09:11:15,4.344s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:11:15,2017-05-28 09:11:17,1.313s,PASSED
setText,Firefox 53.0,,2017-05-28 09:11:17,2017-05-28 09:11:17,0.268s,PASSED
setText,Firefox 53.0,,2017-05-28 09:11:17,2017-05-28 09:11:17,0.509s,PASSED
click,Firefox 53.0,,2017-05-28 09:11:17,2017-05-28 09:11:23,5.261s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:11:23,2017-05-28 09:11:23,0.083s,PASSED
click,Firefox 53.0,,2017-05-28 09:11:23,2017-05-28 09:11:26,3.596s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:11:26,2017-05-28 09:11:28,2.080s,FAILED
,,,,,,
Test Cases/parts menu/Parts Parametrics Mapping,Firefox 53.0,,2017-05-28 09:11:29,2017-05-28 09:11:59,30.799s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:11:29,2017-05-28 09:11:33,4.408s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:11:33,2017-05-28 09:11:38,4.514s,PASSED
setText,Firefox 53.0,,2017-05-28 09:11:38,2017-05-28 09:11:38,0.284s,PASSED
setText,Firefox 53.0,,2017-05-28 09:11:38,2017-05-28 09:11:38,0.570s,PASSED
click,Firefox 53.0,,2017-05-28 09:11:38,2017-05-28 09:11:44,5.665s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:11:44,2017-05-28 09:11:44,0.097s,PASSED
click,Firefox 53.0,,2017-05-28 09:11:44,2017-05-28 09:11:44,0.242s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:11:44,2017-05-28 09:11:59,14.941s,PASSED
,,,,,,
Test Cases/parts menu/PartsConfiguration,Firefox 53.0,,2017-05-28 09:11:59,2017-05-28 09:12:18,19.072s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:12:00,2017-05-28 09:12:04,4.419s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:12:04,2017-05-28 09:12:05,0.998s,PASSED
setText,Firefox 53.0,,2017-05-28 09:12:05,2017-05-28 09:12:05,0.257s,PASSED
setText,Firefox 53.0,,2017-05-28 09:12:05,2017-05-28 09:12:06,0.828s,PASSED
click,Firefox 53.0,,2017-05-28 09:12:06,2017-05-28 09:12:11,5.162s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:12:11,2017-05-28 09:12:11,0.137s,PASSED
click,Firefox 53.0,,2017-05-28 09:12:11,2017-05-28 09:12:14,2.409s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:12:14,2017-05-28 09:12:18,4.717s,PASSED
,,,,,,
Test Cases/parts menu/peackage,Firefox 53.0,,2017-05-28 09:12:19,2017-05-28 09:13:05,46.954s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:12:19,2017-05-28 09:12:23,4.703s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:12:23,2017-05-28 09:12:27,3.313s,PASSED
setText,Firefox 53.0,,2017-05-28 09:12:27,2017-05-28 09:12:27,0.217s,PASSED
setText,Firefox 53.0,,2017-05-28 09:12:27,2017-05-28 09:12:27,0.168s,PASSED
click,Firefox 53.0,,2017-05-28 09:12:27,2017-05-28 09:12:46,18.432s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:12:46,2017-05-28 09:12:46,0.086s,PASSED
click,Firefox 53.0,,2017-05-28 09:12:46,2017-05-28 09:12:46,0.266s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:12:46,2017-05-28 09:13:05,19.627s,PASSED
,,,,,,
Test Cases/parts menu/pin out,Firefox 53.0,,2017-05-28 09:13:06,2017-05-28 09:13:23,17.383s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:13:06,2017-05-28 09:13:10,4.104s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:13:10,2017-05-28 09:13:11,1.267s,PASSED
setText,Firefox 53.0,,2017-05-28 09:13:11,2017-05-28 09:13:11,0.263s,PASSED
setText,Firefox 53.0,,2017-05-28 09:13:11,2017-05-28 09:13:11,0.117s,PASSED
click,Firefox 53.0,,2017-05-28 09:13:11,2017-05-28 09:13:19,7.569s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:13:19,2017-05-28 09:13:19,0.112s,PASSED
click,Firefox 53.0,,2017-05-28 09:13:19,2017-05-28 09:13:19,0.257s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:13:19,2017-05-28 09:13:23,3.585s,PASSED
,,,,,,
Test Cases/parts menu/qualification and militray,Firefox 53.0,,2017-05-28 09:13:23,2017-05-28 09:13:39,16.146s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:13:23,2017-05-28 09:13:27,4.052s,PASSED
